file,location,issue_type,message,line_text
0002.txt,line 583,warning,Secuencia de artículos salta de 148 a 150,Art. 150. DEROGADO. P.O. 08 DE ENERO DE 2018.
0002.txt,line 2277,warning,Secuencia de artículos salta de 892 a 894,"Art. 894.- El que siembre, plante o edifique en finca propia, con semillas, plantas o materiales ajenos, adquiere la propiedad de unas y otros, pero con la obligación de pagarlos en todo caso y de resarcir los daños y perjuicios si ha procedido de mala fé."
0002.txt,line 3259,warning,Secuencia de artículos salta de 1510 a 1512,"Art. 1512.- A falta de descendientes y de cónyuge, sucederán el padre y la madre por partes iguales."
0002.txt,line 5590,warning,Secuencia de artículos salta de 2910 a 2912,"Art. 2912.- En los casos de los números I y II del artículo que precede, los interesados harán constar inmediatamente, por información judicial de dos testigos, el hecho de haberse rehusado el encargado del Registro, a fin de que pueda servirles de prueba en el juicio correspondiente."
0004.txt,line 720,warning,Secuencia de artículos salta de 235 a 326,"Artículo 326 (sic).- Todas las pruebas, salvo los casos especificados en la ley, podrán recibirse con asistencia de las partes."
0004.txt,line 1992,warning,Secuencia de artículos salta de 804 a 825,Artículo 825 (sic).- La tercera sección se llamará de administración y contendrá:
0006.txt,line 187,warning,Secuencia de artículos salta de 45 a 47,"ARTICULO 47.- EL JUEZ FIJARA DENTRO DE LOS MINIMOS Y MAXIMOS LEGALES LA SANCION, TENIENDO EN CUENTA LAS SIGUIENTES CIRCUNSTANCIAS, EN CUANTO LA LEY NO LAS CONSIDERE ESPECIFICAMENTE COMO CONSTITUTIVAS DEL DELITO O MODIFICATIVAS DE LA RESPONSABILIDAD:"
0006.txt,line 332,warning,Secuencia de artículos salta de 89 a 96,ARTICULO 96.
0006.txt,line 813,warning,Secuencia de artículos salta de 195 a 197,"ARTICULO 197-BIS.- QUIEN LE VENDA AUN MENOR DE DIECIOCHO AÑOS O LE PROPORCIONE POR CUALQUIER CONCEPTO SUBSTANCIAS TÓXICAS, TALES COMO THINERS, SOLVENTES, SAROLOS, PEGAMENTOS, CEMENTOS PLÁSTICOS O CUALQUIERA OTRA QUE PRODUZCA EFECTOS SIMILARES CON LA FINALIDAD DE SER CONSUMIDAS POR EL MENOR CON PROPÓSITOS ENERVANTES, SE LE SANCIONARÁ CON LA PENA DE PRISIÓN DE CUATRO A DOCE AÑOS Y MULTA HASTA DE SETECIENTAS CUOTAS."
0014.txt,line 256,warning,Secuencia de artículos salta de 40 a 42,"Artículo 42.- Los sujetos obligados establecerán en su programa anual los procedimientos para la generación, administración, uso, control y migración de formatos electrónicos, así como planes de preservación y conservación de largo plazo que contemplen la migración, la emulación o cualquier otro método de preservación y conservación de los documentos de archivos electrónicos, apoyándose en las disposiciones emanadas del Consejo Nacional y del Consejo Estatal."
0014.txt,line 452,warning,Secuencia de artículos salta de 89 a 91,"Artículo 91.- Los sujetos obligados podrán celebrar acuerdos interinstitucionales y convenios con instituciones educativas, centros de investigación y organismos públicos o privados, para recibir servicios de capacitación en materia de archivos."
0015.txt,line 183,warning,Secuencia de artículos salta de 7 a 9,Artículo 9. Corresponde al Gobernador del Estado:
0015.txt,line 328,warning,Secuencia de artículos salta de 15 a 17,"Artículo 17. El Consejo Estatal de Ordenamiento Territorial y Desarrollo Urbano, tendrá las siguientes funciones:"
0015.txt,line 421,warning,Secuencia de artículos salta de 24 a 26,Artículo 26. El convenio que se celebre según lo previsto en el artículo anterior contendrá:
0015.txt,line 1654,warning,Secuencia de artículos salta de 174 a 176,"Artículo 176. Los Atlas de riesgos se elaborarán y consultarán conforme al procedimiento que se establece en el siguiente párrafo, según corresponda al espacio territorial que"
0015.txt,line 1694,warning,Secuencia de artículos salta de 181 a 183,"Artículo 183. Adicionalmente a lo anterior, toda nueva construcción o fraccionamiento, deberá de contribuir económicamente, a las obras de manejo integral de aguas pluviales y de drenaje pluvial contenidas en el programa sectorial de infraestructura para el manejo de las aguas pluviales, conforme al tipo y nivel de riesgo que represente su ubicación dentro de la cuenca."
0015.txt,line 2650,warning,Secuencia de artículos salta de 304 a 306,"Artículo 306. Para la obtención de las autorizaciones de fusión, subdivisión, relotificación o parcelación, el solicitante deberá cumplir con los siguientes requisitos:"
0015.txt,line 3426,warning,Secuencia de artículos salta de 429 a 431,"Artículo 431. Para apoyar el funcionamiento de los observatorios, las dependencias y entidades de la Administración Pública Federal, estatal, municipal y de las demarcaciones territoriales:"
0017.txt,line 235,warning,Secuencia de artículos salta de 17 a 19,"Artículo 19.- El Consejo Técnico se integrará por un mínimo de doce miembros, que podrán ser provenientes del sector social, académico y de investigación, con reconocido mérito y experiencia en materia de cambio climático, debiendo observarse que la cuarta parte de los integrantes de este Consejo deberán contar con la certificación otorgada por parte de la Escuela Nacional de Protección Civil."
0017.txt,line 260,warning,Secuencia de artículos salta de 23 a 25,"Artículo 25.- El Programa Estatal será elaborado por la Secretaría, siguiendo las pautas que marcan el Acuerdo de París y los estudios sobre cambio climático del Grupo Intergubernamental de Expertos sobre el Cambio Climático (IPCC) de la Organización de las Naciones Unidas. Será puesto a consideración y aprobado por la Comisión tras la revisión previa del Consejo Técnico."
0021.txt,line 245,warning,Secuencia de artículos salta de 40 a 42,Artículo 42.- Las reclamaciones de los usuarios de la defensa pública deberán ser dirigidas al Director General con copia al Consejo y serán resueltas de manera inimpugnable por el primero.
0022.txt,line 310,warning,Secuencia de artículos salta de 28 a 30,"Artículo 30.- En la planeación del desarrollo forestal, la Corporación, elaborará un Programa Estatal Forestal, en el que se considerará la problemática actual del sector y se indicará las alternativas de solución al mismo."
0022.txt,line 326,warning,Secuencia de artículos salta de 34 a 36,"Artículo 36.- Los gobiernos municipales coadyuvarán con la Corporación en los términos que prevea el Reglamento de esta Ley, para la realización y actualización del Inventario Estatal Forestal y de Suelos."
0022.txt,line 574,warning,Secuencia de artículos salta de 87 a 89,"Artículo 89 Bis 24.- La operación y administración de los Centros Municipales e Intermunicipales de Manejo del Fuego, se regirá por la metodología del Sistema de Comando de Incidentes y Mando Unificado, según se establezca en las normas oficiales mexicanas."
0023.txt,line 346,warning,Secuencia de artículos salta de 87 a 89,"Artículo 89.- Considerando la diversidad de bienes y servicios que se desarrollan en el medio rural, se articulará un sistema comercial, que apoyará y favorecerá la consolidación de la oferta de las empresas rurales en las diferentes ramas productivas ubicadas en territorio nuevoleonés."
0025.txt,line 180,warning,Titulo sin sufijo válido (línea ignorada),título profesional; que en ningún caso excederá de un tanto más del importe de los derechos que se pagan por el servicio establecido en el artículo 185 fracción IV de la Ley Federal de Derechos;
0035.txt,line 3,warning,Capitulo sin sufijo válido (línea ignorada),CAPÍTULO l DISPOSICIONES GENERALES
0038.txt,line 406,warning,Secuencia de artículos salta de 89 a 91,"ARTICULO 91.-Cuando se solicite la suspensión provisional o definitiva de una orden de clausura, además de garantizarse el interés fiscal en las formas que establece el Código Fiscal del Estado, la Tesorería General podrá ordenar la inspección permanente del establecimiento, la que subsistirá hasta la determinación del juicio."
0047.txt,line 397,warning,Secuencia de artículos salta de 56 a 58,"Artículo 58. Los Magistrados del Tribunal, bajo su responsabilidad se excusarán de intervenir en los siguientes casos:"
0050.txt,line 224,warning,Secuencia de artículos salta de 55 a 102,"ARTÍCULO 102, APARTADO ""B"" DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS Y DE ACUERDO CON LAS DISPOSICIONES DE LA LEY DE LA COMISIÓN NACIONAL DE DERECHOS HUMANOS."
0053.txt,line 65,warning,Secuencia de artículos salta de 6 a 8,Artículo 8.- Organización
0056.txt,line 93,warning,Secuencia de artículos salta de 13 a 15,"Artículo 15.- El Estado, a través de la Secretaría del Trabajo, promoverá los derechos laborales y ofrecerá programas de capacitación laboral y de empleo entre los indígenas y afromexicanos."
0059.txt,line 498,warning,Secuencia de artículos salta de 20 a 22,Artículo 22. El Instituto será conformado por:
0059.txt,line 1656,warning,Secuencia de artículos salta de 170 a 172,"Artículo 172. Son susceptibles de permiso, en los términos de esta Ley y su Reglamento, las siguientes modalidades del servicio de transporte:"
0066.txt,line 23,warning,Secuencia de artículos salta de 1 a 3,ARTÍCULO 3.- Los ejes rectores que deberán regir en toda política pública en materia de prevención del delito son:
0068.txt,line 9,warning,Titulo sin sufijo válido (línea ignorada),TITULO PARA SU EJERCICIO
0071.txt,line 79,warning,Capitulo sin sufijo válido (línea ignorada),Capítulo llI De los Derechos de las Mujeres Sección Primera Durante el Embarazo
0075.txt,line 515,warning,Secuencia de artículos salta de 93 a 95,"Artículo 95. En el tratamiento de datos personales así como en el uso de las bases de datos para su almacenamiento, que realicen los sujetos obligados competentes de las instancias de seguridad, procuración y administración de justicia deberá cumplir con los principios establecidos en el Título Segundo de la presente Ley."
0080.txt,line 222,warning,Secuencia de artículos salta de 42 a 44,"Artículo 44. La Contraloría y los Órganos Internos de Control, observarán el protocolo de actuación que, en su caso, emita el Comité Coordinador del Sistema Estatal Anticorrupción."
0080.txt,line 422,warning,Secuencia de artículos salta de 80 a 82,Artículo 82. Para la imposición de las sanciones por faltas de particulares se deberán considerar los siguientes elementos:
0081.txt,line 416,warning,Capitulo sin sufijo válido (línea ignorada),"Capítulo Xl Bis De Ia detección, prevención y atención al suicidio"
0102.txt,line 114,warning,Secuencia de artículos salta de 23 a 25,Artículo 25.- Estará a cargo de los Oficiales extender las actas relativas a:
0102.txt,line 153,warning,Secuencia de artículos salta de 40 a 42,Artículo 42.- Son funciones del Titular del Archivo Estatal del Registro Civil:
